num	weight	title
25	0.010	>P00698.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; AltName: Full=Allergen Gal d IV; AltName: Allergen=Gal d 4; Flags: Precursor [Gallus gallus]
26	0.010	>P84492.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C [Chelonia mydas]
27	0.010	>Q7LZQ2.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C [Aix sponsa]
28	0.010	>P85045.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Bufo gargarizans andrewsi]
29	0.010	>Q7LZQ3.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C [Crax fasciolata]
30	0.011	>Q91159.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Opisthocomus hoazin]
31	0.010	>P81708.1 RecName: Full=Lysozyme C, milk isozyme; AltName: Full=1,4-beta-N-acetylmuramidase C [Canis lupus familiaris]
32	0.010	>P00708.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C [Columba livia]
33	0.010	>P11376.1 RecName: Full=Lysozyme C, milk isozyme; AltName: Full=1,4-beta-N-acetylmuramidase C [Equus caballus]
34	0.011	>Q9CPX3.1 RecName: Full=Lysozyme-like protein 1; Flags: Precursor [Mus musculus]
35	0.018	>B6VH76.1 RecName: Full=Sperm acrosome membrane-associated protein 3; AltName: Full=Sperm protein reactive with antisperm antibodies; Short=Sperm protein reactive with ASA; Contains: RecName: Full=Sperm acrosome membrane-associated protein 3, membrane for
36	0.012	>Q96QH8.1 RecName: Full=Sperm acrosome-associated protein 5; AltName: Full=Lysozyme-like protein 5; AltName: Full=Sperm-specific lysozyme-like protein X; Short=SLLP-X; Flags: Precursor [Homo sapiens]
37	0.011	>Q6UWQ5.2 RecName: Full=Lysozyme-like protein 1; Flags: Precursor [Homo sapiens]
38	0.011	>A0JNM6.1 RecName: Full=Lysozyme-like protein 1; Flags: Precursor [Bos taurus]
39	0.012	>A6QQ77.1 RecName: Full=Sperm acrosome membrane-associated protein 3; Flags: Precursor [Bos taurus]
40	0.012	>B6VH75.1 RecName: Full=Sperm acrosome membrane-associated protein 3; AltName: Full=Sperm protein reactive with antisperm antibodies; Short=Sperm protein reactive with ASA; Flags: Precursor [Canis lupus familiaris]
41	0.012	>Q32PD6.1 RecName: Full=Sperm acrosome-associated protein 5; AltName: Full=Lysozyme-like protein 5; Flags: Precursor [Bos taurus]
42	0.012	>A2AE20.1 RecName: Full=Sperm acrosome-associated protein 5; AltName: Full=Lysozyme-like protein 5; Flags: Precursor [Mus musculus]
43	0.010	>P37156.1 RecName: Full=Lysozyme C I; AltName: Full=1,4-beta-N-acetylmuramidase C [Tachyglossus aculeatus aculeatus]
44	0.018	>Q9D9X8.2 RecName: Full=Sperm acrosome membrane-associated protein 3; AltName: Full=Lysozyme-like protein 3; AltName: Full=Sperm lysozyme-like protein 1; Short=mSLLP1; Contains: RecName: Full=Sperm acrosome membrane-associated protein 3, membrane form; Co
45	0.011	>Q9DA11.1 RecName: Full=Lysozyme-like protein 6; Flags: Precursor [Mus musculus]
46	0.011	>P81646.1 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein [Tachyglossus aculeatus aculeatus]
47	0.011	>O75951.1 RecName: Full=Lysozyme-like protein 6; Flags: Precursor [Homo sapiens]
48	0.011	>Q29RT1.1 RecName: Full=Lysozyme-like protein 6; Flags: Precursor [Bos taurus]
49	0.011	>P30805.1 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein [Ornithorhynchus anatinus]
50	0.012	>Q2T9N7.1 RecName: Full=Lysozyme-like protein 4; Short=Lysozyme-4; Flags: Precursor [Bos taurus]
51	0.011	>P48816.1 RecName: Full=Lysozyme; AltName: Full=1,4-beta-N-acetylmuramidase; Flags: Precursor [Bombyx mori]
52	0.011	>D4ABW7.1 RecName: Full=Lysozyme-like protein 4; Short=Lysozyme-4; Flags: Precursor [Rattus norvegicus]
53	0.012	>Q96KX0.1 RecName: Full=Lysozyme-like protein 4; Short=Lysozyme-4; Flags: Precursor [Homo sapiens]
54	0.011	>Q9N2G9.1 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; Flags: Precursor [Canis lupus familiaris]
55	0.011	>Q17005.2 RecName: Full=Lysozyme c-1; AltName: Full=1,4-beta-N-acetylmuramidase; Flags: Precursor [Anopheles gambiae]
56	0.011	>C0HLB7.1 RecName: Full=Lysozyme 2; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Lucilia sericata]
57	0.011	>P29615.1 RecName: Full=Lysozyme P; AltName: Full=1,4-beta-N-acetylmuramidase P; Flags: Precursor [Drosophila melanogaster]
58	0.011	>P08334.2 RecName: Full=Alpha-lactalbumin A; AltName: Full=Lactose synthase B protein [Equus caballus]
59	0.011	>P00711.2 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; AltName: Allergen=Bos d 4; Flags: Precursor [Bos taurus]
60	0.011	>P00709.1 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; AltName: Full=Lysozyme-like protein 7; Flags: Precursor [Homo sapiens]
61	0.011	>P05105.2 RecName: Full=Lysozyme; AltName: Full=1,4-beta-N-acetylmuramidase; Flags: Precursor [Hyalophora cecropia]
62	0.011	>P00716.2 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; Flags: Precursor [Oryctolagus cuniculus]
63	0.013	>P00714.1 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; Flags: Precursor [Rattus norvegicus]
64	0.011	>Q7YT16.1 RecName: Full=Lysozyme 1; AltName: Full=1,4-beta-N-acetylmuramidase 1; Flags: Precursor [Musca domestica]
65	0.013	>C1IIX1.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Penaeus merguiensis]
66	0.011	>D9J143.1 RecName: Full=Lysozyme 1B; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Lucilia sericata]
67	0.011	>P37159.2 RecName: Full=Lysozyme E; AltName: Full=1,4-beta-N-acetylmuramidase E; Flags: Precursor [Drosophila melanogaster]
68	0.011	>P50718.1 RecName: Full=Lysozyme; AltName: Full=1,4-beta-N-acetylmuramidase; Flags: Precursor [Trichoplusia ni]
69	0.011	>P00710.1 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein [Camelus dromedarius]
70	0.012	>P50717.1 RecName: Full=Lysozyme; AltName: Full=1,4-beta-N-acetylmuramidase; Flags: Precursor [Hyphantria cunea]
71	0.011	>P37161.2 RecName: Full=Lysozyme X; AltName: Full=1,4-beta-N-acetylmuramidase X; Flags: Precursor [Drosophila melanogaster]
72	0.011	>P82174.2 RecName: Full=Lysozyme; AltName: Full=1,4-beta-N-acetylmuramidase [Galleria mellonella]
73	0.011	>P18137.2 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; Flags: Precursor [Sus scrofa]
74	0.011	>P29752.1 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; Flags: Precursor [Mus musculus]
75	0.011	>P37160.2 RecName: Full=Lysozyme S; AltName: Full=1,4-beta-N-acetylmuramidase S; Flags: Precursor [Drosophila melanogaster]
76	0.011	>Q7SID7.1 RecName: Full=Lysozyme; AltName: Full=1,4-beta-N-acetylmuramidase [Antheraea mylitta]
77	0.011	>P00713.2 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; Flags: Precursor [Cavia porcellus]
78	0.012	>Q06655.2 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; Flags: Precursor [Notamacropus eugenii]
79	0.012	>Q29145.1 RecName: Full=Alpha-lactalbumin; AltName: Full=Lactose synthase B protein; Flags: Precursor [Trichosurus vulpecula]
80	0.013	>P21776.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C [Pseudocheirus peregrinus]
81	0.014	>P81710.1 RecName: Full=Lysozyme C, spleen isozyme; AltName: Full=1,4-beta-N-acetylmuramidase C [Equus caballus]
82	0.019	>Q54F36.1 RecName: Full=Lysozyme C-like protein DDB_G0291137; Flags: Precursor [Dictyostelium discoideum]
83	0.014	>P37155.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C [Felis catus]
84	0.017	>Q07568.1 RecName: Full=Protein IpgF; Flags: Precursor [Shigella flexneri]
85	0.028	>Q4A0G5.1 RecName: Full=Probable transglycosylase IsaA; AltName: Full=Immunodominant staphylococcal antigen A; Flags: Precursor [Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292]
86	0.016	>Q6L6Q6.1 RecName: Full=Lysozyme; AltName: Full=1,4-beta-N-acetylmuramidase; AltName: Full=Invertebrate-type lysozyme; Flags: Precursor [Crassostrea gigas]
87	0.022	>C4Z0V6.1 RecName: Full=Ribosomal RNA large subunit methyltransferase H; AltName: Full=23S rRNA (pseudouridine1915-N3)-methyltransferase; AltName: Full=23S rRNA m3Psi1915 methyltransferase; AltName: Full=rRNA (pseudouridine-N3-)-methyltransferase RlmH [[E
